foodid;foodname;energia_laskennallinen;rasva;hiilihydraatti_imeytyvä;hiilihydraatti_erotuksena;proteiini;alkoholi;tuhka;vesi
34574;KEKSI, KAURAKEKSI, KOTITEKOINEN;1853.31000;19.67600;59.87800;61.41000;5.39000;0.00000;0.83500;12.25000
152;OHRAHIUTALE;1382.70000;2.00000;64.45000;76.55000;8.25000;0.00000;1.00000;12.20000
29079;WOK-KASVIKSET, PAPRIKA-SIPULI-MAISSI-PAPU;286.70000;0.56400;10.73100;14.35400;3.07000;0.00000;0.85800;81.15000
32795;GRILLIMAKKARA, ULTRAKEVYT, MAIDOTON, RASVAA 7 %;582.58000;6.49000;10.27600;10.65900;9.79000;0.00000;2.05500;71.00000
428;RUSINA;1213.40000;0.50000;60.10000;73.67800;2.22000;0.00000;1.60000;22.00000
747;LIHAHYYTELÖ, TEOLLINEN, NAUDANLIHASTA;395.38000;5.00000;0.00000;0.00500;12.38000;0.00000;2.40000;80.22000
33365;BROILERIFILEESUIKALE, MARINOITU, PAISTETTU;938.70000;15.75900;2.19600;2.29700;18.60000;0.00000;1.67900;61.58000
30428;JUUSTO, SINIHOMEJUUSTO, RASVAA 17 %, AURA;1088.00000;17.00000;0.00000;0.00000;27.00000;0.00000;3.60000;52.40000
33813;KANAKEITTO, RAINBOW, VALMISATERIA;266.06000;4.20500;3.62100;4.06300;2.47000;0.00000;1.06700;64.91000
3207;KUKKAKAALISOSEKEITTO, KERMA;236.95000;3.97200;2.62600;4.77500;1.61000;0.00000;1.67000;88.00000
3040;MAISSINJYVÄ, KEITETTY, SUOLATON;534.79000;1.29200;24.32000;27.83300;2.67000;0.00000;0.77200;59.69000
31688;SEKALEIPÄ, TUMMA LEIPÄ, LUONTAISESTI GLUTEENITON;1094.18000;4.16300;49.31400;53.80000;3.79000;0.00000;1.40800;37.08000
34392;TÄYTETTY LEIPÄ, PATONKI, SALAMI, KINKKU, ITALIAN BMT, SUBWAY;967.74000;9.59900;24.69800;25.84900;10.64000;0.00000;2.26600;51.38000
32677;ATERIANKORVIKE, PROTEIINIJUOMA MAITOON, NUTRISHAKE, GNLD;271.68000;0.48600;6.90900;7.26200;7.79000;0.00000;0.85300;83.61000
32903;KIISSELI, MEHUKEITTO, KOTITEKOINEN;210.28000;0.10600;11.79100;12.03400;0.17000;0.00000;0.01400;87.67800
28976;RAPARPERI-KAURAHIUTALEPAISTOS;928.19000;12.22000;23.47700;23.54700;2.62000;0.00000;0.98500;50.40000
30192;RISOTTO, JAUHELIHA-PAPURISOTTO, NAUDANLIHA;596.06000;5.30200;15.00200;17.52400;7.55000;0.00000;1.05700;68.40000
